"Subject" "Activity" "variable" "avg"
"100" "26" "WALKING" "tBodyAcc-mean-X" 0.279264443728814
"101" "26" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2792845828
"102" "26" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.272691394545455
"103" "27" "STANDING" "tBodyAcc-mean-X" 0.279566921625
"104" "27" "SITTING" "tBodyAcc-mean-X" 0.273941302571429
"105" "27" "LAYING" "tBodyAcc-mean-X" 0.274102492432432
"106" "27" "WALKING" "tBodyAcc-mean-X" 0.276849485438596
"107" "27" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.2975441875
"108" "27" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.265770253921569
"109" "28" "STANDING" "tBodyAcc-mean-X" 0.277795069113924
"110" "28" "SITTING" "tBodyAcc-mean-X" 0.276977629444444
"111" "28" "LAYING" "tBodyAcc-mean-X" 0.2759134825
"112" "28" "WALKING" "tBodyAcc-mean-X" 0.281228223888889
"113" "28" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.293642076521739
"114" "28" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.262005841764706
"115" "29" "STANDING" "tBodyAcc-mean-X" 0.277965065846154
"116" "29" "SITTING" "tBodyAcc-mean-X" 0.2771799775
"117" "29" "LAYING" "tBodyAcc-mean-X" 0.287295196811594
"118" "29" "WALKING" "tBodyAcc-mean-X" 0.271999916792453
"119" "29" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.293140441083333
"120" "29" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.265423066877551
"121" "30" "STANDING" "tBodyAcc-mean-X" 0.277112699152542
"122" "30" "SITTING" "tBodyAcc-mean-X" 0.268336081379032
"123" "30" "LAYING" "tBodyAcc-mean-X" 0.281033900571429
"124" "30" "WALKING" "tBodyAcc-mean-X" 0.276406758
"125" "30" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.283190646967742
"126" "30" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.271415642261538
"127" "2" "STANDING" "tBodyAcc-mean-X" 0.277911472222222
"128" "2" "SITTING" "tBodyAcc-mean-X" 0.27708735173913
"129" "2" "LAYING" "tBodyAcc-mean-X" 0.281373403958333
"130" "2" "WALKING" "tBodyAcc-mean-X" 0.276426586440678
"131" "2" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.27761534806383
"132" "2" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.247164790395833
"133" "4" "STANDING" "tBodyAcc-mean-X" 0.280499745892857
"134" "4" "SITTING" "tBodyAcc-mean-X" 0.27153827992
"135" "4" "LAYING" "tBodyAcc-mean-X" 0.263559214981481
"136" "4" "WALKING" "tBodyAcc-mean-X" 0.278582015166667
"137" "4" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.279965329555556
"138" "4" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.270876696730769
"139" "9" "STANDING" "tBodyAcc-mean-X" 0.282310057333333
"140" "9" "SITTING" "tBodyAcc-mean-X" 0.24832674354
"141" "9" "LAYING" "tBodyAcc-mean-X" 0.2591955368
"142" "9" "WALKING" "tBodyAcc-mean-X" 0.278502842115385
"143" "9" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.295923445
"144" "9" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.262436475714286
"145" "10" "STANDING" "tBodyAcc-mean-X" 0.276650300681818
"146" "10" "SITTING" "tBodyAcc-mean-X" 0.270612056481481
"147" "10" "LAYING" "tBodyAcc-mean-X" 0.280230574137931
"148" "10" "WALKING" "tBodyAcc-mean-X" 0.278574076603774
"149" "10" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.290401594315789
"150" "10" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.267121853404255
"151" "12" "STANDING" "tBodyAcc-mean-X" 0.277405834918033
"152" "12" "SITTING" "tBodyAcc-mean-X" 0.275007224901961
"153" "12" "LAYING" "tBodyAcc-mean-X" 0.260113433
"154" "12" "WALKING" "tBodyAcc-mean-X" 0.2771286656
"155" "12" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.281521097391304
"156" "12" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.272970338653846
"157" "13" "STANDING" "tBodyAcc-mean-X" 0.277758431052632
"158" "13" "SITTING" "tBodyAcc-mean-X" 0.274328499591837
"159" "13" "LAYING" "tBodyAcc-mean-X" 0.276716360483871
"160" "13" "WALKING" "tBodyAcc-mean-X" 0.275883130350877
"161" "13" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.294907553404255
"162" "13" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.258203939581818
"163" "18" "STANDING" "tBodyAcc-mean-X" 0.278458805890411
"164" "18" "SITTING" "tBodyAcc-mean-X" 0.27727001877193
"165" "18" "LAYING" "tBodyAcc-mean-X" 0.274691576923077
"166" "18" "WALKING" "tBodyAcc-mean-X" 0.273887758571429
"167" "18" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.288439468909091
"168" "18" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.265401201896552
"169" "20" "STANDING" "tBodyAcc-mean-X" 0.278076904657534
"170" "20" "SITTING" "tBodyAcc-mean-X" 0.278045439090909
"171" "20" "LAYING" "tBodyAcc-mean-X" 0.239507882205882
"172" "20" "WALKING" "tBodyAcc-mean-X" 0.272589336470588
"173" "20" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.296144421355556
"174" "20" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.252098317156863
"175" "24" "STANDING" "tBodyAcc-mean-X" 0.280348883913043
"176" "24" "SITTING" "tBodyAcc-mean-X" 0.273475690147059
"177" "24" "LAYING" "tBodyAcc-mean-X" 0.272850494930556
"178" "24" "WALKING" "tBodyAcc-mean-X" 0.276980816034483
"179" "24" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-X" 0.288631208909091
"180" "24" "WALKING_UPSTAIRS" "tBodyAcc-mean-X" 0.269881106779661
"181" "1" "STANDING" "tBodyAcc-mean-Y" -0.0161375901037736
"182" "1" "SITTING" "tBodyAcc-mean-Y" -0.00130828765170213
"183" "1" "LAYING" "tBodyAcc-mean-Y" -0.0405139534294
"184" "1" "WALKING" "tBodyAcc-mean-Y" -0.0173838185273684
"185" "1" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.00991850461020408
"186" "1" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0239531492643396
"187" "3" "STANDING" "tBodyAcc-mean-Y" -0.0143376555065574
"188" "3" "SITTING" "tBodyAcc-mean-Y" -0.00350299841730769
"189" "3" "LAYING" "tBodyAcc-mean-Y" -0.0189556785048387
"190" "3" "WALKING" "tBodyAcc-mean-Y" -0.0171767844203448
"191" "3" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0193554079328571
"192" "3" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0324109410555932
"193" "5" "STANDING" "tBodyAcc-mean-Y" -0.00700418554517857
"194" "5" "SITTING" "tBodyAcc-mean-Y" -0.00990083527045455
"195" "5" "LAYING" "tBodyAcc-mean-Y" -0.0183042123269231
"196" "5" "WALKING" "tBodyAcc-mean-Y" -0.0172850317482679
"197" "5" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.00850107533191489
"198" "5" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0325269755153191
"199" "6" "STANDING" "tBodyAcc-mean-Y" -0.0181236327175439
"200" "6" "SITTING" "tBodyAcc-mean-Y" -0.0145911615290909
"201" "6" "LAYING" "tBodyAcc-mean-Y" -0.0102529170561404
"202" "6" "WALKING" "tBodyAcc-mean-Y" -0.0168954189082456
"203" "6" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.019536840063125
"204" "6" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0272425385070588
"205" "7" "STANDING" "tBodyAcc-mean-Y" -0.0145740341037736
"206" "7" "SITTING" "tBodyAcc-mean-Y" -0.01461097580375
"207" "7" "LAYING" "tBodyAcc-mean-Y" -0.0204411516884615
"208" "7" "WALKING" "tBodyAcc-mean-Y" -0.018653665345614
"209" "7" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0166332372978723
"210" "7" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0275639005607843
"211" "8" "STANDING" "tBodyAcc-mean-Y" -0.0148113067148148
"212" "8" "SITTING" "tBodyAcc-mean-Y" -0.00672550621304348
"213" "8" "LAYING" "tBodyAcc-mean-Y" -0.0212281733881481
"214" "8" "WALKING" "tBodyAcc-mean-Y" -0.0186628865310417
"215" "8" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0211058674973684
"216" "8" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0282415136341463
"217" "11" "STANDING" "tBodyAcc-mean-Y" -0.0171990886595745
"218" "11" "SITTING" "tBodyAcc-mean-Y" -0.0149195616754717
"219" "11" "LAYING" "tBodyAcc-mean-Y" -0.0176598052315789
"220" "11" "WALKING" "tBodyAcc-mean-Y" -0.0166475833623729
"221" "11" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0178097721219565
"222" "11" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0303157822055556
"223" "14" "STANDING" "tBodyAcc-mean-Y" -0.01520781344
"224" "14" "SITTING" "tBodyAcc-mean-Y" -0.00870565463888889
"225" "14" "LAYING" "tBodyAcc-mean-Y" -0.0113424652490196
"226" "14" "WALKING" "tBodyAcc-mean-Y" -0.0217785380966102
"227" "14" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0200141413657778
"228" "14" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0204388180024074
"229" "15" "STANDING" "tBodyAcc-mean-Y" -0.0183516360396226
"230" "15" "SITTING" "tBodyAcc-mean-Y" -0.0117188472271186
"231" "15" "LAYING" "tBodyAcc-mean-Y" -0.0166296542054167
"232" "15" "WALKING" "tBodyAcc-mean-Y" -0.0170809740090741
"233" "15" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.00563047804309524
"234" "15" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0287523860708333
"235" "16" "STANDING" "tBodyAcc-mean-Y" -0.0165999672935897
"236" "16" "SITTING" "tBodyAcc-mean-Y" -0.0102497939956522
"237" "16" "LAYING" "tBodyAcc-mean-Y" -0.0166103510562857
"238" "16" "WALKING" "tBodyAcc-mean-Y" -0.0204286929452941
"239" "16" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0183898583787234
"240" "16" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0143654945011765
"241" "17" "STANDING" "tBodyAcc-mean-Y" -0.0174120064169231
"242" "17" "SITTING" "tBodyAcc-mean-Y" -0.014156274084375
"243" "17" "LAYING" "tBodyAcc-mean-Y" -0.0168462006729577
"244" "17" "WALKING" "tBodyAcc-mean-Y" -0.0184875403339344
"245" "17" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0167359404347826
"246" "17" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0228645614308333
"247" "19" "STANDING" "tBodyAcc-mean-Y" -0.0154244056945205
"248" "19" "SITTING" "tBodyAcc-mean-Y" -0.016739260030137
"249" "19" "LAYING" "tBodyAcc-mean-Y" -0.0171426864421687
"250" "19" "WALKING" "tBodyAcc-mean-Y" -0.0191773587903846
"251" "19" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0145942275069487
"252" "19" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0303986615775
"253" "21" "STANDING" "tBodyAcc-mean-Y" -0.0167084730205618
"254" "21" "SITTING" "tBodyAcc-mean-Y" -0.0144009705494118
"255" "21" "LAYING" "tBodyAcc-mean-Y" -0.0184233048415556
"256" "21" "WALKING" "tBodyAcc-mean-Y" -0.0181610317526923
"257" "21" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0173195390157778
"258" "21" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0237218695148936
"259" "22" "STANDING" "tBodyAcc-mean-Y" -0.0158563207496825
"260" "22" "SITTING" "tBodyAcc-mean-Y" -0.0123468446419355
"261" "22" "LAYING" "tBodyAcc-mean-Y" -0.0142629864502778
"262" "22" "WALKING" "tBodyAcc-mean-Y" -0.0167213607957174
"263" "22" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0197999371686389
"264" "22" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0268622561133333
"265" "23" "STANDING" "tBodyAcc-mean-Y" -0.0177475547867647
"266" "23" "SITTING" "tBodyAcc-mean-Y" -0.0133945015676471
"267" "23" "LAYING" "tBodyAcc-mean-Y" -0.0216553835833333
"268" "23" "WALKING" "tBodyAcc-mean-Y" -0.0183618711932203
"269" "23" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0162111457238889
"270" "23" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0323844029237255
"271" "25" "STANDING" "tBodyAcc-mean-Y" -0.0163569730274324
"272" "25" "SITTING" "tBodyAcc-mean-Y" -0.0147696808030769
"273" "25" "LAYING" "tBodyAcc-mean-Y" -0.0188943663671233
"274" "25" "WALKING" "tBodyAcc-mean-Y" -0.0186477624716216
"275" "25" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0210170522987931
"276" "25" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0269863524264615
"277" "26" "STANDING" "tBodyAcc-mean-Y" -0.0166608306652703
"278" "26" "SITTING" "tBodyAcc-mean-Y" -0.00713364541358974
"279" "26" "LAYING" "tBodyAcc-mean-Y" -0.0191895728026316
"280" "26" "WALKING" "tBodyAcc-mean-Y" -0.0154259586949153
"281" "26" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.01262580966778
"282" "26" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0281633797398182
"283" "27" "STANDING" "tBodyAcc-mean-Y" -0.016593236445
"284" "27" "SITTING" "tBodyAcc-mean-Y" -0.0155269799285714
"285" "27" "LAYING" "tBodyAcc-mean-Y" -0.0179867611216216
"286" "27" "WALKING" "tBodyAcc-mean-Y" -0.0166478783221912
"287" "27" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0135564467159091
"288" "27" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0200953324078431
"289" "28" "STANDING" "tBodyAcc-mean-Y" -0.0172635124672152
"290" "28" "SITTING" "tBodyAcc-mean-Y" -0.0185404441258333
"291" "28" "LAYING" "tBodyAcc-mean-Y" -0.0167537858225
"292" "28" "WALKING" "tBodyAcc-mean-Y" -0.0156759722981481
"293" "28" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0220230465913043
"294" "28" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0279443943478431
"295" "29" "STANDING" "tBodyAcc-mean-Y" -0.0172605869061538
"296" "29" "SITTING" "tBodyAcc-mean-Y" -0.016630680375
"297" "29" "LAYING" "tBodyAcc-mean-Y" -0.0171965484202899
"298" "29" "WALKING" "tBodyAcc-mean-Y" -0.0162915600588679
"299" "29" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.01494121505625
"300" "29" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0299465312326531
"301" "30" "STANDING" "tBodyAcc-mean-Y" -0.0170163887813559
"302" "30" "SITTING" "tBodyAcc-mean-Y" -0.00804731295322581
"303" "30" "LAYING" "tBodyAcc-mean-Y" -0.0194494098614286
"304" "30" "WALKING" "tBodyAcc-mean-Y" -0.0175880385730769
"305" "30" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0174383900204839
"306" "30" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0253311698786154
"307" "2" "STANDING" "tBodyAcc-mean-Y" -0.0184208270166667
"308" "2" "SITTING" "tBodyAcc-mean-Y" -0.0156879937282609
"309" "2" "LAYING" "tBodyAcc-mean-Y" -0.0181587397583333
"310" "2" "WALKING" "tBodyAcc-mean-Y" -0.0185949199145763
"311" "2" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0226614158361702
"312" "2" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0214121132045833
"313" "4" "STANDING" "tBodyAcc-mean-Y" -0.00948911098553571
"314" "4" "SITTING" "tBodyAcc-mean-Y" -0.007163065158
"315" "4" "LAYING" "tBodyAcc-mean-Y" -0.0150031841055556
"316" "4" "WALKING" "tBodyAcc-mean-Y" -0.0148399475341667
"317" "4" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.00980200850666667
"318" "4" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0319804295729615
"319" "9" "STANDING" "tBodyAcc-mean-Y" -0.0200454954022222
"320" "9" "SITTING" "tBodyAcc-mean-Y" -0.02701677698
"321" "9" "LAYING" "tBodyAcc-mean-Y" -0.020526821662
"322" "9" "WALKING" "tBodyAcc-mean-Y" -0.0180891971284423
"323" "9" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0203994269075476
"324" "9" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0195101099975714
"325" "10" "STANDING" "tBodyAcc-mean-Y" -0.0155418603409091
"326" "10" "SITTING" "tBodyAcc-mean-Y" -0.015042681852037
"327" "10" "LAYING" "tBodyAcc-mean-Y" -0.024294484137931
"328" "10" "WALKING" "tBodyAcc-mean-Y" -0.017022351190566
"329" "10" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0200050770710526
"330" "10" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0143854920340426
"331" "12" "STANDING" "tBodyAcc-mean-Y" -0.0169002543196721
"332" "12" "SITTING" "tBodyAcc-mean-Y" -0.0157892988523529
"333" "12" "LAYING" "tBodyAcc-mean-Y" -0.0175203917146667
"334" "12" "WALKING" "tBodyAcc-mean-Y" -0.015560927606
"335" "12" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.018084266865793
"336" "12" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0263574903403846
"337" "13" "STANDING" "tBodyAcc-mean-Y" -0.0167891993964912
"338" "13" "SITTING" "tBodyAcc-mean-Y" -0.00587732936326531
"339" "13" "LAYING" "tBodyAcc-mean-Y" -0.020440454366129
"340" "13" "WALKING" "tBodyAcc-mean-Y" -0.0185660651947368
"341" "13" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0143723839108511
"342" "13" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0277392253910909
"343" "18" "STANDING" "tBodyAcc-mean-Y" -0.0166353518150685
"344" "18" "SITTING" "tBodyAcc-mean-Y" -0.0128691279736842
"345" "18" "LAYING" "tBodyAcc-mean-Y" -0.0173937684615385
"346" "18" "WALKING" "tBodyAcc-mean-Y" -0.0178023631866071
"347" "18" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.0168666920221818
"348" "18" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0222060684378914
"349" "20" "STANDING" "tBodyAcc-mean-Y" -0.0180695049161644
"350" "20" "SITTING" "tBodyAcc-mean-Y" -0.0147229305131818
"351" "20" "LAYING" "tBodyAcc-mean-Y" -0.0144406281132353
"352" "20" "WALKING" "tBodyAcc-mean-Y" -0.021199992245098
"353" "20" "WALKING_DOWNSTAIRS" "tBodyAcc-mean-Y" -0.00964120773155556
"354" "20" "WALKING_UPSTAIRS" "tBodyAcc-mean-Y" -0.0282258047588235
"355" "24" "STANDING" "tBodyAcc-mean-Y" -0.0144785340348986
"356" "24" "SITTING" "tBodyAcc-mean-Y" -0.0131255097938235
